Task,Course,Due Date,Type
M340 Lec @2/15,MATH 340,2022-02-15,Class
M340 Lec @2/17,MATH 340,2022-02-17,Class
M340 Lec @2/22,MATH 340,2022-02-22,Class
M340 Lec @2/24,MATH 340,2022-02-24,Class
M340 Lec @3/1,MATH 340,2022-03-01,Class
M340 Lec @3/3,MATH 340,2022-03-03,Class
M340 Lec @3/8,MATH 340,2022-03-08,Class
M340 Lec @3/10,MATH 340,2022-03-10,Class
M340 Lec @3/15,MATH 340,2022-03-15,Class
M340 Lec @3/17,MATH 340,2022-03-17,Class
M340 Lec @3/22,MATH 340,2022-03-22,Class
M340 Lec @3/24,MATH 340,2022-03-24,Class
M340 Lec @3/29,MATH 340,2022-03-29,Class
M340 Lec @3/31,MATH 340,2022-03-31,Class
M340 Lec @4/5,MATH 340,2022-04-05,Class
M340 Lec @4/7,MATH 340,2022-04-07,Class
M340 Lec @4/12,MATH 340,2022-04-12,Class
C421 Lec @1/11,COMP 421,2022-01-11,Class
C421 Lec @1/13,COMP 421,2022-01-13,Class
C421 Lec @1/18,COMP 421,2022-01-18,Class
C421 Lec @1/20,COMP 421,2022-01-20,Class
C421 Lec @1/25,COMP 421,2022-01-25,Class
C421 Lec @1/27,COMP 421,2022-01-27,Class
C421 Lec @2/1,COMP 421,2022-02-01,Class
C421 Lec @2/3,COMP 421,2022-02-03,Class
C421 Lec @2/8,COMP 421,2022-02-08,Class
C421 Lec @2/10,COMP 421,2022-02-10,Class
C421 Lec @2/15,COMP 421,2022-02-15,Class
C421 Lec @2/17,COMP 421,2022-02-17,Class
C421 Lec @2/22,COMP 421,2022-02-22,Class
C421 Lec @2/24,COMP 421,2022-02-24,Class
C421 Lec @3/1,COMP 421,2022-03-01,Class
C421 Lec @3/3,COMP 421,2022-03-03,Class
C421 Lec @3/8,COMP 421,2022-03-08,Class
C421 Lec @3/10,COMP 421,2022-03-10,Class
C421 Lec @3/15,COMP 421,2022-03-15,Class
C421 Lec @3/17,COMP 421,2022-03-17,Class
C421 Lec @3/22,COMP 421,2022-03-22,Class
C421 Lec @3/24,COMP 421,2022-03-24,Class
C421 Lec @3/29,COMP 421,2022-03-29,Class
C421 Lec @3/31,COMP 421,2022-03-31,Class
C421 Lec @4/5,COMP 421,2022-04-05,Class
C421 Lec @4/7,COMP 421,2022-04-07,Class
C421 Lec @4/12,COMP 421,2022-04-12,Class
